game_id,names,min_players,max_players,min_time,max_time,year,avg_rating,geek_rating,num_votes,age,mechanic,owned,category,designer,weight
31897,Anno 1701: Das Brettspiel,3,4,60,120,2007,6.75833,5.74924,269,10,"Dice Rolling, Trading",427,"Age of Reason, Civilization, Exploration",Klaus Teuber,2.3333
205477,Vengeance,1,4,30,120,2018,7.423989999999999,5.749230000000001,243,14,"Area Movement, Card Drafting, Dice Rolling, Modular Board, Set Collection, Storytelling, Variable Player Powers",718,"Dice, Fighting, Mafia, Miniatures, Puzzle",Gordon Calleja,2.6
147999,Händler der Karibik,2,4,20,20,2013,6.81838,5.74907,260,8,"Card Drafting, Press Your Luck, Set Collection",354,"Card Game, Nautical, Pirates",Alexander Pfister,1.8421
8059,Ideology: The War of Ideas,2,5,90,90,2003,6.156680000000001,5.74902,857,12,"Area Control / Area Influence, Variable Player Powers",1547,Political,Andrew Parks,2.7525
201509,Dead Man's Doubloons,2,6,45,45,2018,7.1070199999999994,5.74869,247,10,"Action / Movement Programming, Area Control / Area Influence, Area Movement, Dice Rolling, Hand Management, Press Your Luck, Simultaneous Action Selection, Take That, Variable Player Powers",808,"Dice, Fighting, Nautical, Pirates, Racing",Jason Miceli,2.2222
450,Octi,2,4,10,30,1999,6.762919999999999,5.74867,305,8,none,577,Abstract Strategy,Don Green,3.5
668,Sternenhimmel,3,5,30,30,1995,6.57521,5.74865,319,10,"Area Control / Area Influence, Auction/Bidding",391,Bluffing,Tom Schoeps,2.0857
64220,Richard Scarry's Busytown: Eye found it! Game,2,4,30,30,2009,6.52306,5.74863,381,3,"Co-operative Play, Memory, Roll / Spin and Move",770,"Children's Game, Racing",Forrest-Pruzan Creative,1.2333
3412,Brandywine,2,2,240,240,2000,7.272810000000001,5.74855,183,12,Hex-and-Counter,604,"Age of Reason, American Revolutionary War, Wargame",Mark Miklos,2.6316
33732,Tulipmania 1637,3,5,60,60,2009,6.173830000000001,5.74854,676,0,"Auction/Bidding, Commodity Speculation, Simultaneous Action Selection",908,"Economic, Pike and Shot",Scott Nicholson,2.4714
2316,X-Bugs,2,2,30,30,2001,6.37365,5.74841,499,10,"Dice Rolling, Variable Player Powers",896,"Action / Dexterity, Fighting","Marco Maggi, Francesco Nepitello",1.3538
180241,Warhammer: Age of Sigmar,2,2,40,180,2015,6.52617,5.7484,423,12,"Dice Rolling, Modular Board, Point to Point Movement, Variable Player Powers",723,"Fantasy, Medieval, Miniatures, Wargame",none,2.3478
